Id,Questions,a,b,c,d,correct,,level,,topic
1,"#include <stdio.h>
int main(){
    int i = 1024;
    for (; i; i >>= 1)
        printf(""Piet"");
    return 0;
}
How many times will Piet be printed in the above program?",10,11,infinite,compile error,b,,hard,,for loop
2,"#include <stdio.h>
int main()
{
    int i = 0;
    switch (i)
    {
        case '0': printf(""Yes"");
                break;
        case '1': printf(""Piet"");
                break;
        default: printf(""Yes Piet"");
    }
    return 0;
}",yes,piet,yespiet,compile error,c,,easy(tricky),,switch
3,"#include <stdio.h>
int main()
{
    int i = 3;
    switch (i)
    {
        case 0+1: printf(""Yes"");
                break;
        case 1+2: printf(""Piet"");
                break;
        default: printf(""YesPiet"");
    }
    return 0;
}",yes,piet,yespiet,compile error,b,,easy,,switch
4,"Predict the output of the below program:
#include <stdio.h>
#define EVEN 0
#define ODD 1
int main()
{
    int i = 3;
    switch (i & 1)
    {
        case EVEN: printf(""Even"");
                break;
        case ODD: printf(""Odd"");
                break;
        default: printf(""Default"");
    }
    return 0;
}",Even,Odd,Default,compile error,b,,medium,,switch
5,"#include <stdio.h>
int main()
{
    int i;
    if (printf(""o""))
        i = 3;
    else
        i = 5;
    printf(""%d"", i);
    return 0;
}",3,5,o3,o5,c,,medium,,if else
6,Which of the following cannot be checked in a switch-case statement?,Character,Integer,Float,enum,c,,easy,,switch
7,"What will be the output of the following program?
#include<stdio.h>
void main()
{
int a=300,b,c;
if(a>=400)
b=300;
c=200;
printf(""%d,%d\n"",b,c);
}","garbage,garbage","300,200","200,300","garbage,200",d,,easy,,if else
8,"#include<stdio.h>
void main()
{
        int a=1,b=20;
        if (a && b>5 > 25)
                printf(""Yo!"");
        else
                printf(""Baby!"");
}",Yo!,Baby!,compilation error,none of these,b,,medium,,if else
9," #include <stdio.h>
    int main()
    {
        printf(""%d "", 1);
        goto l1;
        printf(""%d "", 2);
        l1:goto l2;
        printf(""%d "", 3);
        l2:printf(""%d "", 4);
   }",14,134,124,compile error,a,,easy,,goto
10,"#include<stdio.h>
 
int main()
{
    int i=2,j=2;  
    while(i+1?--i:j++) 
       printf(""i=%d j=%d"",i,j);
    return 0;
}"," 
1,2"," 
1,2 
0,2"," 
1,2 
0,2
-1,2"," 
1,2 
0,2
0,3",a,,medium,,while loop
11,"#include<stdio.h>
void main()
{
        int i;
        for(i=1,printf(""Intialization"");printf(""\nCondition""),i++ <= 5;printf(""%d"",i))
                printf(""\nInside the loop\n"");
}
Program 2:
#include<stdio.h>
void main()
{
        int i;
        for(i=1,printf(""Initialization"");i++ <= 5,printf(""\nCondition"");printf(""%d"",i))
                printf(""\nInside the loop :"");
}"," 
Program 1:
Initialization
Condition
Inside the loop:2
Condition
Inside the loop:3
Condition
Inside the loop:4
Condition
Inside the loop:5
Condition
Inside the loop:6
Program 2: 
Infinite Loop"," 
Program 1:
Infinite Loop
 
Program 2:
Initialization
Condition
Inside the loop:2
Condition
Inside the loop:3
Condition
Inside the loop:4
Condition
Inside the loop:5
Condition
Inside the loop:6"," 
Infinite Loop in both the programs"," 
Compilation Error",,,hard,,for loop
12,"#include<stdio.h>
 
void main()
{
        int i=1;
        for(;i++;)
            printf(""%d"",i);
}"," 
Infinite Loop."," 
Compiler Dependent output, but no Infinite Loop.
C. 
",Compilation Error," 
1 to 65535",,,,,
13,"#include<stdio.h>
int main()
{
    int i,j;
    i=j=2,3;       // line 5
    while(--i&&j++)
    printf(""%d %d\n"",i,j);
    printf(""%d %d\n"",i,j);
    return 0;
}"," 
1 3
0 3"," 
1 3
0 4"," 
2 4
1 5
0 5"," 
Compilation Error",a,,medium,,while loop
14,"#include<stdio.h>
int main()
{
    int i=0;
    for(; i<=5; i++);
        printf(""%d"", i);
    return 0;
}","0, 1, 2, 3, 4, 5",5,"1,2,3,4",6,d,,easy,,for loop
15,"#include<stdio.h>
void main()
{
    int i=10;
    if(i ==10)
        printf(""I is 10"");
    else if ( i <= 10)
        printf("",I is less than or equal to 10"");
    else
    {
        break;
    }
}"," 
I is 10"," 
I is 10 ,I is less than or equal to 10"," 
Compile Time Error
",none of these,c,,easy(tricky),,if else
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
8,,,,,,,,,,
,,,,,,,,,easy(tricky),
